"","ISO3","OECD_GDP"
"1","IRL",64732.4657312957
"2","LTU",28116.8324283948
"3","EST",27929.4460951238
"4","PRT",28023.6408022262
"5","DNK",45633.2240006386
"6","ESP",33800.7220024413
"7","POL",25998.8480283977
"8","ISL",46934.3762459233
"9","BEL",41807.8707853174
"10","NLD",47480.9748855514
"11","GBR",39096.8239528795
"12","GRC",24130.1501109918
"13","IND",6062.19892920182
"14","CHN",14970.7786740915
"15","MEX",17125.4580252313
"16","DEU",43773.9889618641
"17","TUR",24420.9903568609
"18","USA",53031.0239004724
"19","CAN",43256.7434380663
"20","IDN",11054.8860819349
"21","HUN",25716.8598096195
"22","SWE",45896.926622845
"23","FIN",39561.7039276441
"24","OTO",38796.8750572542
"25","KOR",36292.95990201
"26","JPN",38050.0123956893
"27","ISR",32351.8109649251
"28","CRI",15255.0492248679
"29","FRA",37681.8518285667
"30","BRA",13834.601718395
"31","SVK",29866.7426593427
"32","CZE",31864.5125924645
"33","CHL",21138.104382167
"34","NOR",60452.8432275365
"35","AUT",44071.2782990847
"36","COL",12977.7793960183
"37","CHE",54634.1758304741
"38","AUS",43791.4422114178
"39","NZL",33700.4311122915
"40","LVA",24243.7033645806
"41","ZAF",11963.1571898534
"42","RUS",23546.7410109933
"43","ARG",18913.23926722
"44","EA16",38307.9382011163
"45","LUX",89067.2910935605
"46","SVN",30407.2537154529
"47","ITA",34167.7419650275
